cost_id,warehouse_id,period_start,orders_count,cost_category,amount_usd,region,currency,cost_per_order_usd,budget_usd,variance_usd,overhead_usd
CST-000000001,WH-00016,2025-11-01,282,fuel,1559.8,APAC,USD,5.5312,1557.85,1.95,87.03
CST-000000002,WH-00004,2025-05-01,132,fuel,1922.69,EMEA,USD,14.5658,2032.44,-109.75,204.13
CST-000000003,WH-00020,2025-08-01,181,fuel,1181.36,APAC,USD,6.5269,1308.68,-127.32,85.52
CST-000000004,WH-00005,2025-10-01,187,fuel,1211.67,EMEA,USD,6.4795,1246.76,-35.09,107.23
CST-000000005,WH-00010,2025-09-01,236,fuel,845.43,APAC,USD,3.5823,1012.47,-167.04,35.94
CST-000000006,WH-00025,2025-11-01,126,fuel,3595.16,EMEA,USD,28.533,3980.09,-384.93,179.28
CST-000000007,WH-00012,2025-09-01,251,fuel,2161.34,EMEA,USD,8.6109,2206.98,-45.64,84.95
CST-000000008,WH-00001,2025-04-01,123,fuel,943.87,EMEA,USD,7.6737,843.86,100.01,46.27
CST-000000009,WH-00009,2025-08-01,221,fuel,8795.72,EMEA,USD,39.7996,9037.84,-242.12,725.27
CST-000000010,WH-00007,2025-12-01,157,fuel,1708.6,EMEA,USD,10.8828,1649.53,59.07,74.78
CST-000000011,WH-00022,2025-05-01,194,fuel,1677.85,NA,USD,8.6487,1956.63,-278.78,120.81
CST-000000012,WH-00002,2025-03-01,194,fuel,7252.02,EMEA,USD,37.3815,7869.36,-617.34,268.19
CST-000000013,WH-00024,2025-07-01,173,fuel,1074.0,APAC,USD,6.2081,1248.87,-174.87,
CST-000000014,WH-00010,2025-07-01,211,fuel,676.46,APAC,USD,3.206,757.53,-81.07,22.41
CST-000000015,WH-00012,2025-02-01,199,fuel,2383.87,EMEA,USD,11.9792,2777.13,-393.26,
CST-000000016,WH-00017,2025-04-01,102,fuel,1004.71,NA,USD,9.8501,952.16,52.55,99.86
CST-000000017,WH-00005,2025-05-01,158,fuel,931.85,EMEA,USD,5.8978,1054.12,-122.27,62.45
CST-000000018,WH-00019,2025-05-01,168,fuel,511.67,APAC,USD,3.0457,456.23,55.44,50.15
CST-000000019,WH-00017,2025-08-01,100,fuel,784.19,NA,USD,7.8419,793.48,-9.29,50.75
CST-000000020,WH-00012,2025-01-01,257,fuel,1753.74,EMEA,USD,6.8239,1816.15,-62.41,83.06
CST-000000021,WH-00013,2025-11-01,193,fuel,838.27,APAC,USD,4.3434,957.63,-119.36,69.73
CST-000000022,WH-00009,2025-01-01,232,fuel,19397.11,EMEA,USD,83.6082,20633.39,-1236.28,1927.03
CST-000000023,WH-00009,2025-02-01,200,fuel,10389.11,EMEA,USD,51.9456,9809.42,579.69,345.74
CST-000000024,WH-00023,2025-12-01,243,fuel,971.03,LATAM,USD,3.996,949.73,21.3,114.15
CST-000000025,WH-00017,2025-07-01,98,fuel,779.29,NA,USD,7.9519,869.95,-90.66,79.05
CST-000000026,WH-00008,2025-08-01,278,fuel,3744.85,EMEA,USD,13.4707,4350.18,-605.33,152.87
CST-000000027,WH-00007,2025-06-01,98,fuel,571.45,EMEA,USD,5.8311,647.91,-76.46,55.95
CST-000000028,WH-00009,2025-07-01,263,fuel,16605.81,EMEA,USD,63.14,15384.17,1221.64,822.11
CST-000000029,WH-00010,2025-05-01,245,fuel,633.0,APAC,USD,2.5837,587.77,45.23,38.2
CST-000000030,WH-00025,2025-06-01,103,fuel,1205.68,EMEA,USD,11.7056,1251.7,-46.02,115.93
CST-000000031,WH-00013,2025-06-01,124,fuel,547.64,APAC,USD,4.4165,500.97,46.67,40.4
CST-000000032,WH-00016,2025-04-01,174,fuel,707.3,APAC,USD,4.0649,713.41,-6.11,28.84
CST-000000033,WH-00002,2025-05-01,203,fuel,12130.22,EMEA,USD,59.7548,12170.84,-40.62,685.0
